model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
BUDDY,2,3.97,41.06,62.23,73.29,86.73,93.95,26.01,3.97,41.06,62.23,73.29,86.73,93.95,98.71,98.54,94.16
BUDDY,3,7.18,21.62,60.69,73.96,87.14,93.95,22.14,7.18,21.62,60.69,73.96,87.14,93.95,98.81,98.51,89.24
BUDDY,4,5.82,16.79,63.9,64.21,86.06,93.77,21.91,5.82,16.79,63.9,64.21,86.06,93.77,98.46,98.47,92.85
BUDDY,0,5.73,20.35,48.56,72.7,86.19,94.09,21.42,5.73,20.35,48.56,72.7,86.19,94.09,98.7,98.44,73.11
BUDDY,1,15.39,33.21,59.39,70.44,87.68,94.4,32.97,15.39,33.21,59.39,70.44,87.68,94.4,98.77,98.67,88.7
BUDDY,2,17.46,27.98,44.22,63.49,85.2,92.87,26.93,17.46,27.98,44.22,63.49,85.2,92.87,98.63,98.56,77.12
BUDDY,3,10.79,18.01,57.18,68.1,86.28,93.32,24.88,10.79,18.01,57.18,68.1,86.28,93.32,98.6,98.5,69.83
BUDDY,4,12.82,20.08,59.43,70.8,84.57,93.1,21.07,12.82,20.08,59.43,70.8,84.57,93.1,98.68,98.49,58.12
BUDDY,0,0.99,22.16,56.81,69.45,88.18,94.31,16.54,0.99,22.16,56.81,69.45,88.18,94.31,98.73,98.43,93.98
BUDDY,1,2.48,29.06,52.75,70.85,87.73,94.31,20.25,2.48,29.06,52.75,70.85,87.73,94.31,98.77,98.71,95.19
BUDDY,2,21.3,30.37,53.2,72.52,88.81,93.73,31.56,21.3,30.37,53.2,72.52,88.81,93.73,98.76,98.62,93.93
BUDDY,3,9.7,30.73,51.9,71.07,87.32,93.55,25.78,9.7,30.73,51.9,71.07,87.32,93.55,98.63,98.57,93.5
BUDDY,4,4.78,31.86,50.95,66.56,88.31,93.86,20.37,4.78,31.86,50.95,66.56,88.31,93.86,98.72,98.47,83.37
BUDDY,0,0.05,22.16,27.53,54.42,66.79,80.14,12.57,0.05,22.16,27.53,54.42,66.79,80.14,96.39,95.99,84.72
BUDDY,1,3.61,5.82,25.14,37.91,58.21,78.93,10.11,3.61,5.82,25.14,37.91,58.21,78.93,96.39,95.61,86.58
BUDDY,2,11.73,23.87,33.39,42.37,60.47,78.07,17.78,11.73,23.87,33.39,42.37,60.47,78.07,96.18,95.72,82.29
BUDDY,3,2.12,19.81,31.09,36.06,62.27,78.84,13.21,2.12,19.81,31.09,36.06,62.27,78.84,96.3,95.88,90.5
BUDDY,4,4.2,7.54,32.76,37.18,62.41,76.71,12.08,4.2,7.54,32.76,37.18,62.41,76.71,95.98,95.56,82.02
NCN,0,22.56,33.66,47.65,57.49,72.83,83.35,30.77,22.56,33.66,47.65,57.49,72.83,83.35,97.47,97.32,91.74
NCN,1,4.92,32.67,38.58,50.59,69.31,82.81,28.35,4.92,32.67,38.58,50.59,69.31,82.81,97.44,97.16,91.94
NCNC,0,3.61,18.46,58.03,68.23,88.0,94.27,16.82,3.61,18.46,58.03,68.23,88.0,94.27,98.72,98.71,94.7
NCN,2,1.31,28.61,39.85,49.86,64.03,77.53,13.61,1.31,28.61,39.85,49.86,64.03,77.53,97.13,96.77,91.63
NCN,3,16.97,24.14,40.3,52.53,65.57,82.18,22.22,16.97,24.14,40.3,52.53,65.57,82.18,97.17,96.87,91.4
NCN,4,8.84,30.14,42.24,53.47,68.01,79.6,20.87,8.84,30.14,42.24,53.47,68.01,79.6,97.0,96.72,90.73
NCNC,1,2.03,12.73,37.73,67.69,84.48,92.92,12.57,2.03,12.73,37.73,67.69,84.48,92.92,98.63,98.21,94.2
NCN,0,35.65,38.36,60.47,82.85,91.92,97.16,28.9,35.65,38.36,60.47,82.85,91.92,97.16,99.16,98.96,96.25
NCN,1,5.51,34.43,61.24,73.51,91.06,96.57,27.77,5.51,34.43,61.24,73.51,91.06,96.57,99.11,98.97,96.12
NCNC,2,7.58,39.49,55.87,69.0,83.21,92.6,37.41,7.58,39.49,55.87,69.0,83.21,92.6,98.64,98.54,94.29
NCN,2,3.52,33.8,70.17,80.6,92.92,96.71,37.44,3.52,33.8,70.17,80.6,92.92,96.71,99.2,99.01,96.05
NCN,3,19.18,32.49,48.92,69.9,88.18,95.53,29.49,19.18,32.49,48.92,69.9,88.18,95.53,98.98,98.75,95.6
NCNC,3,7.67,12.91,48.1,65.39,84.16,90.3,19.87,7.67,12.91,48.1,65.39,84.16,90.3,98.35,98.1,93.93
NCN,4,23.06,46.89,67.87,77.62,90.75,95.67,37.37,23.06,46.89,67.87,77.62,90.75,95.67,99.06,98.87,95.74
NCNC,4,5.78,7.85,49.82,67.15,83.39,91.88,15.86,5.78,7.85,49.82,67.15,83.39,91.88,98.35,97.64,94.2
NCNC,0,34.03,34.12,61.28,71.16,90.84,96.8,24.02,34.03,34.12,61.28,71.16,90.84,96.8,99.06,98.77,95.89
NCNC,1,6.72,20.22,56.45,80.1,92.51,96.62,17.96,6.72,20.22,56.45,80.1,92.51,96.62,99.14,98.91,96.05
NCNC,2,7.49,36.55,62.23,75.05,88.94,96.07,21.16,7.49,36.55,62.23,75.05,88.94,96.07,99.14,98.91,96.19
NCNC,3,17.87,33.21,54.96,69.63,90.52,95.67,26.83,17.87,33.21,54.96,69.63,90.52,95.67,98.99,98.69,95.42
NCNC,4,11.78,19.18,54.38,76.58,88.81,95.4,22.82,11.78,19.18,54.38,76.58,88.81,95.4,99.04,98.77,95.42
NCNC,0,10.56,28.07,43.91,54.02,74.82,84.66,21.63,10.56,28.07,43.91,54.02,74.82,84.66,97.54,97.28,91.58
NCNC,1,19.49,21.25,40.16,52.17,72.97,83.21,23.92,19.49,21.25,40.16,52.17,72.97,83.21,97.57,97.34,91.94
NCNC,2,5.32,17.37,33.3,50.0,74.05,81.63,22.13,5.32,17.37,33.3,50.0,74.05,81.63,97.07,96.64,90.23
NCNC,3,7.58,19.18,38.9,44.09,70.35,81.23,21.11,7.58,19.18,38.9,44.09,70.35,81.23,97.44,97.1,91.65
NCNC,4,19.31,30.6,43.41,50.09,71.8,81.68,28.64,19.31,30.6,43.41,50.09,71.8,81.68,97.38,97.2,91.13
NCNC,0,38.22,30.6,54.92,75.99,93.37,97.34,35.92,38.22,30.6,54.92,75.99,93.37,97.34,99.24,99.03,96.25
NCNC,1,9.75,26.85,54.65,77.84,91.7,96.98,24.18,9.75,26.85,54.65,77.84,91.7,96.98,99.17,98.99,96.07
NCNC,2,8.26,37.73,67.55,75.9,89.71,96.75,22.52,8.26,37.73,67.55,75.9,89.71,96.75,99.2,99.03,96.28
NCNC,3,5.42,37.95,60.97,76.04,88.27,95.85,22.14,5.42,37.95,60.97,76.04,88.27,95.85,99.01,98.85,95.28
NCNC,4,7.08,20.76,66.11,74.91,91.25,96.53,30.32,7.08,20.76,66.11,74.91,91.25,96.53,99.06,98.92,95.8
