model,seed,Hits@1,Hits@3,Hits@10,Hits@20,Hits@50,Hits@100,MRR,mrr_hit1,mrr_hit3,mrr_hit10,mrr_hit20,mrr_hit50,mrr_hit100,AUC,AP,ACC
MLP-llama,3,13.72,28.25,54.69,61.72,77.96,85.81,29.04,13.72,28.25,54.69,61.72,77.96,85.81,96.96,96.99,90.91
MLP-llama,4,13.13,21.57,55.8,61.9,76.14,86.58,28.91,13.13,21.57,55.8,61.9,76.14,86.58,96.93,96.95,91.21
MLP-minilm,0,4.75,8.56,20.34,23.86,31.89,37.98,7.58,4.75,8.56,20.34,23.86,31.89,37.98,74.87,78.38,68.08
MLP-minilm,1,2.52,6.27,19.58,23.27,31.71,37.46,7.45,2.52,6.27,19.58,23.27,31.71,37.46,74.51,78.16,68.61
MLP-minilm,2,2.29,6.74,18.35,22.63,29.89,39.68,7.16,2.29,6.74,18.35,22.63,29.89,39.68,75.24,78.6,69.46
MLP-minilm,3,4.16,5.98,19.87,24.68,30.3,37.87,7.63,4.16,5.98,19.87,24.68,30.3,37.87,74.96,78.45,68.96
MLP-minilm,4,4.22,7.85,18.17,23.21,31.59,37.98,6.96,4.22,7.85,18.17,23.21,31.59,37.98,75.39,78.65,69.31
MLP-bert,0,9.03,10.14,13.6,17.23,23.21,28.19,11.52,9.03,10.14,13.6,17.23,23.21,28.19,65.81,70.24,61.66
MLP-bert,1,10.26,12.02,13.6,17.17,22.04,27.08,12.01,10.26,12.02,13.6,17.17,22.04,27.08,65.96,70.9,61.78
MLP-bert,2,8.38,10.26,15.71,18.11,22.51,28.25,9.88,8.38,10.26,15.71,18.11,22.51,28.25,66.91,71.14,61.93
MLP-bert,3,11.2,10.96,14.3,16.88,23.39,27.9,11.93,11.2,10.96,14.3,16.88,23.39,27.9,66.87,71.48,62.48
MLP-bert,4,8.21,9.61,12.08,18.05,21.81,27.73,10.69,8.21,9.61,12.08,18.05,21.81,27.73,65.73,70.48,61.66
MLP-e5-large,0,13.01,19.46,24.56,31.54,47.13,60.08,17.67,13.01,19.46,24.56,31.54,47.13,60.08,87.63,88.72,79.37
MLP-e5-large,1,14.13,14.6,25.15,31.13,47.36,59.61,19.08,14.13,14.6,25.15,31.13,47.36,59.61,88.0,89.0,79.63
MLP-e5-large,2,15.18,17.88,25.15,31.13,45.55,58.97,18.87,15.18,17.88,25.15,31.13,45.55,58.97,87.38,88.47,79.22
MLP-e5-large,3,12.6,19.87,19.93,33.18,49.24,60.61,18.92,12.6,19.87,19.93,33.18,49.24,60.61,88.78,89.57,79.92
MLP-e5-large,4,16.94,18.05,27.26,34.11,50.88,61.9,20.4,16.94,18.05,27.26,34.11,50.88,61.9,89.81,90.33,80.95
MLP-llama,0,10.26,9.26,18.0,22.22,29.37,37.4,12.31,10.26,9.26,18.0,22.22,29.37,37.4,75.74,78.01,68.9
